Hardware: 11th Gen Intel Core i5-1135G7, HardwareType: Cpu, Sensor: CPU Core #3, Value: 1915.2004, Type: Clock
Hardware: 11th Gen Intel Core i5-1135G7, HardwareType: Cpu, Sensor: CPU Core #4, Value: 1512.0004, Type: Clock
Hardware: 11th Gen Intel Core i5-1135G7, HardwareType: Cpu, Sensor: CPU Package, Value: 7.916073, Type: Power
Hardware: 11th Gen Intel Core i5-1135G7, HardwareType: Cpu, Sensor: CPU Cores, Value: 5.159108, Type: Power
Hardware: 11th Gen Intel Core i5-1135G7, HardwareType: Cpu, Sensor: CPU Memory, Value: 0, Type: Power
Hardware: 11th Gen Intel Core i5-1135G7, HardwareType: Cpu, Sensor: CPU Platform, Value: 0, Type: Power
Hardware: 11th Gen Intel Core i5-1135G7, HardwareType: Cpu, Sensor: CPU Core, Value: 0.664917, Type: Voltage
Hardware: 11th Gen Intel Core i5-1135G7, HardwareType: Cpu, Sensor: CPU Core #1, Value: 0.6549072, Type: Voltage
Hardware: 11th Gen Intel Core i5-1135G7, HardwareType: Cpu, Sensor: CPU Core #2, Value: 0.67492676, Type: Voltage
Hardware: 11th Gen Intel Core i5-1135G7, HardwareType: Cpu, Sensor: CPU Core #3, Value: 0.6624756, Type: Voltage
Hardware: 11th Gen Intel Core i5-1135G7, HardwareType: Cpu, Sensor: CPU Core #4, Value: 0.664917, Type: Voltage
Hardware: 11th Gen Intel Core i5-1135G7, HardwareType: Cpu, Sensor: Bus Speed, Value: 100.800026, Type: Clock
Hardware: Generic Memory, HardwareType: Memory, Sensor: Memory Used, Value: 15.404648, Type: Data
Hardware: Generic Memory, HardwareType: Memory, Sensor: Memory Available, Value: 8.379829, Type: Data
Hardware: Generic Memory, HardwareType: Memory, Sensor: Memory, Value: 64.767654, Type: Load
Hardware: Generic Memory, HardwareType: Memory, Sensor: Virtual Memory Used, Value: 23.445492, Type: Data
Hardware: Generic Memory, HardwareType: Memory, Sensor: Virtual Memory Available, Value: 41.13586, Type: Data
